sku,url_key
12-001-1C,almondbiscotti
W12-001-2,cranberryalmondbiscotti
12-001-2,cranberryalmondbiscotti
12-001-2C,cranberryalmondbiscotti
W12-001-3,pistachiobiscotti
12-001-3,pistachiobiscotti
12-001-3C,pistachiobiscotti
W12-001-5,marzipancookies
12-001-5,marzipancookies
12-001-5C,marzipancookies
W12-068,panettone
12-068,panettone
12-068C,panettone
W14-100-1,sherrybasilvinaigrette
14-100-1,sherrybasilvinaigrette
14-100-1C,sherrybasilvinaigrette
W14-100-2,figvinaigrette
14-100-2,figvinaigrette
14-100-2C,figvinaigrette
W14-100-3,mangogingervinaigrette
14-100-3,mangogingervinaigrette
14-100-3C,mangogingervinaigrette
W14-100-4,shallotvinaigrette
14-100-4,shallotvinaigrette
14-100-4C,shallotvinaigrette
W14-100-5,applevinaigrette
14-100-5,applevinaigrette
14-100-5C,applevinaigrette
W14-100-6,balsamicvinaigrette
14-100-6,balsamicvinaigrette
14-100-6C,balsamicvinaigrette
W8-400-1,grilledvegetablesfarro
8-400-1,grilledvegetablesfarro
8-400-1C,grilledvegetablesfarro
8-400-2,pepperandartichokefarro
8-400-2,pepperandartichokefarro
8-400-2C,pepperandartichokefarro
W8-400-3,artichokefarro
8-400-3,artichokefarro
8-400-3C,artichokefarro
W12-002-1,hazelnutwafer
12-002-1,hazelnutwafer
12-002-1C,hazelnutwafer
W12-002-2,chocolatewafer
12-002-2,chocolatewafer
12-002-2C,chocolatewafer
W12-002-3,lemonwafer
12-002-3,lemonwafer
12-002-3C,lemonwafer
W12-002-4,vanillawafer
12-002-4,vanillawafer
12-002-4C,vanillawafer
W15-020-1,sesameseedbar
15-020-1,sesameseedbar
15-020-1C,sesameseedbar
W17-051-5,heartsofpalmjar
17-051-5,heartsofpalmjar
17-051-5C,heartsofpalmjar
"W17-061-3
",heartsofpalmcan
"17-061-3
",heartsofpalmcan
"17-061-3C
",heartsofpalmcan
